title,year,duration,rating,director,movie_url
Giant,1956,3h 21min,7.6,George Stevens,https://www.imdb.com/title/tt0049261/
The Jungle Book,1967,1h 18min,7.6,Wolfgang Reitherman,https://www.imdb.com/title/tt0061852/
Where Eagles Dare,1968,2h 38min,7.6,Brian G. Hutton,https://www.imdb.com/title/tt0065207/
A Hard Day's Night,1964,1h 27min,7.6,Richard Lester,https://www.imdb.com/title/tt0058182/
Rebel Without a Cause,1955,1h 51min,7.7,Nicholas Ray,https://www.imdb.com/title/tt0048545/
Kelly's Heroes,1970,2h 24min,7.6,Brian G. Hutton,https://www.imdb.com/title/tt0065938/
Eyes Without a Face,1960,1h 30min,7.7,Georges Franju,https://www.imdb.com/title/tt0053459/
The Long Goodbye,1973,1h 52min,7.6,Robert Altman,https://www.imdb.com/title/tt0070334/
"Duck, You Sucker!",1971,2h 18min,7.6,Sergio Leone,https://www.imdb.com/title/tt0067140/
Watership Down,1978,1h 31min,7.6,Martin Rosen,https://www.imdb.com/title/tt0078480/
Escape from Alcatraz,1979,1h 52min,7.6,Don Siegel,https://www.imdb.com/title/tt0079116/
Close Encounters of the Third Kind,1977,2h 18min,7.6,Steven Spielberg,https://www.imdb.com/title/tt0075860/
The Warriors,1979,1h 32min,7.6,Walter Hill,https://www.imdb.com/title/tt0080120/
The Muppet Movie,1979,1h 35min,7.6,James Frawley,https://www.imdb.com/title/tt0079588/
Mad Max 2: The Road Warrior,1981,1h 36min,7.6,George Miller,https://www.imdb.com/title/tt0082694/
On Golden Pond,1981,1h 49min,7.6,Mark Rydell,https://www.imdb.com/title/tt0082846/
Blood Simple,1984,1h 39min,7.6,Joel Coen,https://www.imdb.com/title/tt0086979/
The Naked Gun: From the Files of Police Squad!,1988,1h 25min,7.6,David Zucker,https://www.imdb.com/title/tt0095705/
The Hunt for Red October,1990,2h 15min,7.6,John McTiernan,https://www.imdb.com/title/tt0099810/
Lethal Weapon,1987,1h 49min,7.6,Richard Donner,https://www.imdb.com/title/tt0093409/
Withnail & I,1987,1h 47min,7.6,Bruce Robinson,https://www.imdb.com/title/tt0094336/
When Harry Met Sally...,1989,1h 35min,7.6,Rob Reiner,https://www.imdb.com/title/tt0098635/
Home Alone,1990,1h 43min,7.6,Chris Columbus,https://www.imdb.com/title/tt0099785/
Delicatessen,1991,1h 39min,7.6,Marc Caro,https://www.imdb.com/title/tt0101700/
My Cousin Vinny,1992,2h,7.6,Jonathan Lynn,https://www.imdb.com/title/tt0104952/
Three Colors: White,1994,1h 32min,7.6,Krzysztof Kieslowski,https://www.imdb.com/title/tt0111507/
Only Yesterday,1991,1h 58min,7.6,Isao Takahata,https://www.imdb.com/title/tt0102587/
Dazed and Confused,1993,1h 42min,7.6,Richard Linklater,https://www.imdb.com/title/tt0106677/
Apollo 13,1995,2h 20min,7.6,Ron Howard,https://www.imdb.com/title/tt0112384/
The Bridges of Madison County,1995,2h 15min,7.6,Clint Eastwood,https://www.imdb.com/title/tt0112579/
The Godfather: Part III,1990,2h 42min,7.6,Francis Ford Coppola,https://www.imdb.com/title/tt0099674/
Dark City,1998,1h 40min,7.6,Alex Proyas,https://www.imdb.com/title/tt0118929/
Lost Highway,1997,2h 14min,7.6,David Lynch,https://www.imdb.com/title/tt0116922/
Mulan,1998,1h 28min,7.6,Tony Bancroft,https://www.imdb.com/title/tt0120762/
Fear and Loathing in Las Vegas,1998,1h 58min,7.6,Terry Gilliam,https://www.imdb.com/title/tt0120669/
The Thin Red Line,1998,2h 50min,7.6,Terrence Malick,https://www.imdb.com/title/tt0120863/
American Psycho,2000,1h 41min,7.6,Mary Harron,https://www.imdb.com/title/tt0144084/
Minority Report,2002,2h 25min,7.6,Steven Spielberg,https://www.imdb.com/title/tt0181689/
Traffic,2000,2h 27min,7.6,Steven Soderbergh,https://www.imdb.com/title/tt0181865/
The Others,2001,1h 44min,7.6,Alejandro Amenábar,https://www.imdb.com/title/tt0230600/
Y Tu Mamá También,2001,1h 46min,7.6,Alfonso Cuarón,https://www.imdb.com/title/tt0245574/
Harry Potter and the Sorcerer's Stone,2001,2h 32min,7.6,Chris Columbus,https://www.imdb.com/title/tt0241527/
Enemy at the Gates,2001,2h 11min,7.6,Jean-Jacques Annaud,https://www.imdb.com/title/tt0215750/
The Royal Tenenbaums,2001,1h 50min,7.6,Wes Anderson,https://www.imdb.com/title/tt0265666/
Die Hard with a Vengeance,1995,2h 8min,7.6,John McTiernan,https://www.imdb.com/title/tt0112864/
