title,url,discounted_price,original_price
Authentic Eleaf iStick Power 2 80W MOD - Light Brown,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-light-brown-p-20760.html,$31.53,$32.93 
Authentic Geekvape Obelisk 120 FC MOD without Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-mod-without-fast-charger-gunmetal-p-21093.html,$47.56,$79.74 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Blue+Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-blueblack-p-21262.html,$8.43,$12.16 
Authentic Wotofo MDURA PRO MOD - King Kong Black,https://www.cigabuy.com/authentic-wotofo-mdura-pro-mod-king-kong-black-p-21104.html,$36.73,$59.83 
Authentic VOOPOO Argus Pro 80W Pod Kit - Litchi Leather & Blue,https://www.cigabuy.com/authentic-voopoo-argus-pro-80w-pod-kit-litchi-leather-blue-p-20197.html,$27.38,$29.86 
Authentic Geekvape Aegis Boost Pro Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-gunmetal-p-20327.html,$30.34,$48.82 
Authentic Geekvape L200 Aegis Legend 2 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-rainbow-p-21208.html,$53.94,$84.70 
Authentic Wotofo SMRT Pod Kit - Black Blue,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-blue-p-20630.html,$21.14,$39.87 
Authentic Geekvape Obelisk 60 Pod Kit - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-black-p-21173.html,$37.46,$46.84 
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$26.03,$43.30 
Authentic Dovpo College DNA60 60W TC MOD - Silver,https://www.cigabuy.com/authentic-dovpo-college-dna60-60w-tc-mod-silver-p-20160.html,$100.05,$155.25 
Authentic VOOPOO DRAG 3 177W Kit - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-kit-classic-p-20560.html,$39.45,$49.29 
2pcs Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/2pcs-authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-21253.html,$4.81,$7.29 
2 x Authentic Uwell Valyrian II FeCrAl UN2-3 Triple Meshed Coil 0.16ohm,https://www.cigabuy.com/2-x-authentic-uwell-valyrian-ii-fecral-un2-3-triple-meshed-coil-016ohm-p-15124.html,$10.41,$11.85 
Authentic Eleaf iStick Power 2 80W MOD - Red,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-red-p-20761.html,$31.53,$32.93 
50pcs Authentic VandyVape Vape Cotton Laces 10pcs/bag,https://www.cigabuy.com/50pcs-authentic-vandyvape-vape-cotton-laces-10pcsbag-p-21217.html,$10.91,$12.64 
Authentic ThunderHead Creations THC Tauren MAX RDA  - Brass Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-max-rda-brass-black-p-21074.html,$23.15,$36.82 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Sandblast,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-sandblast-p-20608.html,$26.78,$28.94 
